RUCHE;LoAb;LoVA;LoVB;IC;LoAn;LaAn;LoAp;LaAP;LoFe;LoTi;LoMe;LaMe;LoTp;LoFa;LaBj;LoPl;LaTom;LoLan
Kkouassikro;10,33333333;0,53522844;0,35505832;1,1784426;10,4303316;3,78365043;7,29909815;2,16916491;3,04621866;3,28120431;2,29394664;1,54726719;8,59777329;3,3471468;1,81512854;0,18157712;2,11227352;7,6973052
Kkouassikro;14,08333333;0,67358323;0,26511533;1,98418257;11,1001873;4,123629;7,81494874;2,00354532;3,14666515;3,45850495;2,33309261;1,44596258;8,95271362;3,44584046;2,11654376;0,18992403;2,17049095;5,43239693
Kkouassikro;12,75;0,60304812;0,2663371;1,76883799;11,2756852;3,9876331;7,86819103;2,29784732;3,22363438;3,47376128;2,19620198;1,5067591;8,89552795;3,41981191;2,05427439;0,21083998;2,32455196;5,75869004
Kkouassikro;12,66666667;0,64370256;0,23668322;2,12468676;10,8138136;3,97363362;7,45452484;2,2030076;3,08820419;3,47342872;2,22312282;1,54729869;8,78586029;3,39240408;2,1487819;0,1982591;2,18255601;5,69029376
Kkouassikro;13,41666667;0,64574147;0,23255405;2,16884982;10,8804467;3,83579798;7,43235272;2,06292273;3,19199037;3,45605714;2,39308535;1,56082119;9,04959998;3,30098373;2,0279575;0,20147058;2,10223205;4,99365546
Kkouassikro;12,66666667;0,57261405;0,25855494;1,73016016;10,9625035;3,93308634;7,31259826;2,14218837;2,73681115;3,52073223;2,44611083;1,47973106;8,70476005;3,36537297;1,9257951;0,18190644;2,22985599;5,0144869
Kkouassikro;14,5;0,63362553;0,31642479;1,56367176;11,3613085;3,98358305;7,86184874;2,24145723;3,00571427;3,60216836;2,36742318;1,60813129;8,99349347;3,37979735;2,12373309;0,19146171;2,26557022;5,70693241
Kkouassikro;13,66666667;0,63081031;0,27304975;1,80436854;11,1644109;3,91154957;7,7205264;2,11763417;3,14541797;3,75465519;2,33932822;1,51352637;9,25037943;3,36290542;1,91328362;0,16458388;2,39993307;5,59810333
Kkouassikro;12,58333333;0,54998923;0,25780222;1,66668735;10,8386372;3,95963431;7,51400135;2,17575565;3,04739331;3,62850483;2,3040953;1,44594629;8,98029347;3,03390544;1,88516618;0,20203132;2,18246525;5,93949541
Kkouassikro;12,16666667;0,65876273;0,24622236;2,09043369;10,6856107;3,73432445;7,18307389;2,17462767;3,07305496;3,48489429;2,35755485;1,4797251;8,91158319;3,30907108;1,68882457;0,18670476;2,16173603;6,07697298
Kkouassikro;12,83333333;0,54911941;0,27567967;1,55603897;10,9466484;3,97459469;7,28139473;2,31159597;2,8927341;3,5146453;2,39228766;1,47297622;8,80240271;3,23768616;2,12870237;0,16557305;2,2841012;5,57698107
Kkouassikro;12,83333333;0,57880154;0,30926105;1,46205217;10,9128416;3,96783518;7,67352184;2,31159597;3,21715288;3,66334183;2,25037229;1,56757103;9,13367593;3,46074178;1,98003109;0,17990018;2,29761659;5,5093813
Kkouassikro;13,66666667;0,6433016;0,30581572;1,64294518;11,0627931;3,93861912;7,40222399;2,02968132;3,13865363;3,63288259;2,28523971;1,49325593;9,06753884;3,30877414;2,01469442;0,1964999;2,33232932;5,69964088
Kkouassikro;13,33333333;0,52083624;0,36057433;1,12826216;11,1288183;4,03152046;7,64766429;2,15740725;2,97533953;3,42192924;2,5416894;1,58784741;8,94660504;3,4764919;2,1360234;0,1942934;2,33196652;5,54099384
