RUCHE;LoAb;LoVA;LoVB;IC;LoAn;LaAn;LoAp;LaAP;LoFe;LoTi;LoMe;LaMe;LoTp;LoFa;LaBj;LoPl;LaTom;LoLan
Man;13,16666667;0,52401374;0,28258729;1,44847735;11,1177268;3,97648063;7,72623449;2,15698938;3,2723301;3,42806232;2,39950696;1,54054789;9,10601153;3,36080036;2,62924364;0,18737683;1,94653084;7,38598473
Man;12;0,66665263;0,26817056;1,94241998;11,4030239;3,96290988;7,82823325;2,19442199;3,28858309;3,42342177;2,41810123;1,5405336;9,124311;3,49735032;2,11420714;0,17560521;2,27638044;7,70195627
Man;12,41666667;0,64615175;0,24848292;2,0316257;10,5234669;3,91136998;7,86252347;2,2361095;3,13468216;3,43863958;2,2971087;1,50675511;8,86906789;3,56015603;1,53366794;0,19944003;1,94581175;6,19448111
Man;12,58333333;0,65936209;0,28280123;1,82150051;11,0954129;3,75692265;7,50048695;2,14197063;3,33794301;3,48660799;2,16895775;1,50675712;8,99380783;3,52716847;1,9865192;0,17594968;2,31084556;7,45308696
Man;14,16666667;0,57755212;0,33759891;1,33600135;11,4209673;4,18502608;7,97889926;2,38281091;3,30933138;3,6618637;2,59018553;1,59461387;9,57770426;3,4664935;2,20454107;0,20373262;2,25847639;7,8380103
Man;13,75;0,57066751;0,25820084;1,72617587;11,0445439;3,84430802;7,72180309;2,077235;3,26743827;3,53171886;2,27182115;1,49325684;9,08253458;3,53242639;2,24465303;0,19475235;2,29185484;6,1472132
Man;12,16666667;0,6118757;0,30328342;1,57633824;11,1513764;3,86262854;7,47336729;2,31645121;3,25541206;3,58619936;2,36431002;1,54053572;9,20188477;3,50491406;1,81041994;0,2011602;2,22253486;5,93517694
Man;12,58333333;0,54452059;0,25936466;1,64017472;10,9535106;3,81097909;7,24371353;2,1081856;3,08793513;3,6555328;2,16220087;1,63513553;8,90596448;3,54068252;2,1148997;0,21000446;2,18922211;6,16923699
Man;11,66666667;0,66446149;0,22996864;2,2578558;10,7998518;3,859631;7,68737102;2,20696847;3,16585635;3,55700471;2,51213302;1,54052926;9,2254534;3,5361862;2,0462628;0,1839341;2,28273011;7,58933393
Man;11,25;0,70297535;0,25437148;2,15982621;11,0840142;3,86377818;7,7740834;2,21247814;3,17783091;3,46067324;2,28865818;1,4459301;8,91345501;3,53402634;2,08625927;0,1845496;2,35648017;7,4148551
Man;11,75;0,60110714;0,29876728;1,57218503;10,6201673;3,7926543;7,50675484;2,04521329;3,21340983;3,77338191;2,41096603;1,43917967;9,38906082;3,46911652;2,16792943;0,18151475;2,23555488;7,72544302
Man;12,91666667;0,55768201;0,25300442;1,72189897;11,2937365;3,90070708;7,81687495;2,2104305;3,22418706;3,66368803;2,29778895;1,54730171;9,18932549;3,35971817;2,06797466;0,18004571;2,26392042;7,41673166
Mbatto;12,08333333;0,63613652;0,26110384;1,90362672;10,7710759;3,86213744;7,5529673;2,19465588;2,96472251;3,3022138;2,42498157;1,45945389;8,6872232;3,38971813;1,68874449;0,16859138;2,0940911;5,52922451
Mbatto;13;0,60529519;0,24829248;1,90433597;11,0118904;4,00934924;7,61534684;2,0754415;3,23798052;3,40714418;2,25734861;1,42568066;8,90683499;3,31275609;2,02075771;0,17829871;2,07478128;7,41776196
Mbatto;11,33333333;0,67556612;0,23164517;2,27919338;11,0124523;3,9587216;7,56676633;2,22622186;3,06343055;3,27213914;2,38330696;1,29728404;8,70628824;3,31861937;1,80953384;0,19738788;2,18102718;6,82949607
Mbatto;12,08333333;0,67599274;0,27048481;1,95273748;11,1760036;4,09170506;7,63396427;2,25543096;3,1132963;3,38324973;2,20882722;1,60810197;8,70072316;3,49100453;2,09404316;0,18926003;2,13462191;7,25752912
Mbatto;12,25;0,71108011;0,2360339;2,35379827;10,8161461;3,91714595;7,09662825;2,24915261;2,99903153;3,43120686;2,21580969;1,42567219;8,64308671;3,4715461;1,7226822;0,1842842;2,05373754;7,2056514
Mbatto;12,5;0,58048902;0,27423825;1,65372051;10,9647736;3,9591476;7,41130383;2,2093146;3,11468981;3,62815284;2,37830244;1,47297234;9,12060029;3,24976754;1,8445404;0,16985842;2,16886074;7,12772286
Mbatto;12;0,54551411;0,3526091;1,20883523;10,8969726;3,9966655;7,73375457;2,18766993;2,82939694;3,32888941;1,95879708;1,44593943;8,11199839;3,56486674;2,05341524;0,1954621;2,20207722;5,48789697
Mbatto;12,33333333;0,63290425;0,25007383;1,97735726;10,8319184;3,97842821;7,79354838;2,2696522;2,72909273;3,34373134;2,26996924;1,48648386;8,34071525;3,41790353;1,71600686;0,18388998;2,2565054;5,43035817
Mbatto;12;0,63539108;0,25331563;1,95989932;10,8969726;3,90890089;7,69326371;2,33621542;2,99821538;3,22760474;2,20871257;1,52702015;8,42918967;3,53110853;1,84402092;0,15885517;2,07373529;4,79262835
Mbatto;12,33333333;0,58992927;0,30712192;1,5007367;11,1425594;3,93790093;7,56392911;2,06024977;3,28301749;3,71525705;2,53344781;1,59459177;9,5293516;3,41790353;2,06731535;0,17483735;2,14165332;6,95680214
Mbatto;13,5;0,56919181;0,30509809;1,45715244;11,2278983;3,99185198;7,50130592;2,26604923;2,99611719;3,57812037;2,58248887;1,62163341;9,16615852;3,52457262;1,80495929;0,19904767;2,14963302;7,45088083
Mbatto;14;0,5932192;0,25812315;1,79482433;11,0710337;4,02839062;7,96277762;2,27408684;3,27498199;3,52588055;2,43442305;1,45947538;9,24946769;3,540265;2,09617156;0,15109255;2,1636484;5,81774415
Mbatto;12,58333333;0,51405244;0,30311292;1,3249198;10,6088905;3,79746499;7,41264341;2,06764357;3,2501024;3,58796288;2,51355851;1,4932436;9,35193842;3,34472871;1,97976234;0,18892293;2,08111238;6,95981829
Mbatto;12,58333333;0,52967713;0,3148312;1,31437735;10,8724235;3,90557787;7,69644563;2,16899865;3,10144907;3,39876709;2,22976965;1,46621657;8,73027777;3,39878494;1,63516207;0,19054459;2,22976326;5,29757043
Mbatto;12,66666667;0,59761221;0,27964552;1,66950889;10,9151931;3,69656053;7,51535052;2,20976529;3,12199198;3,392337;2,33799543;1,46621754;8,85344383;3,41943519;1,79065158;0,18650141;2,10147034;6,50802006
Mbatto;14,25;0,60874187;0,26116526;1,82022936;11,1381397;3,89425748;7,70218834;2,20023721;3,15392192;3,44556051;2,55648355;1,47299164;9,17242245;3,45329276;1,71771808;0,18913219;2,25855985;5,7183395
Mbatto;14,33333333;0,67972926;0,30401353;1,74599517;11,1740692;3,95563775;7,45250669;2,22751706;3,20831343;3,85204487;2,42132576;1,36488296;9,49928654;3,41977193;1,80570543;0,17669489;2,06929552;7,30467586
Mbatto;13,16666667;0,53650885;0,26619411;1,57434575;10,3666205;3,83446346;7,71946896;2,21784488;3,13710986;3,394255;2,29136016;1,39189853;8,82863674;3,41489775;1,69650425;0,18629529;2,04115386;7,25071028
Mbatto;13,58333333;0,60507736;0,2964843;1,59399232;10,9591038;3,83667417;7,4483915;2,11743472;3,26014854;3,46344469;2,68401937;1,64866165;9,41816118;3,52493702;1,93348418;0,19324369;2,16999671;7,45187129
Mbatto;14,16666667;0,56038165;0,27600465;1,58556576;11,0208265;3,81934419;7,78230786;2,26096263;3,29579628;3,40465331;2,49550512;1,54055917;9,21167735;3,41910003;1,9881444;0,16017226;2,21790497;7,38412378
Mbatto;13,16666667;0,54275641;0,28492918;1,48795466;11,0432928;3,95619246;7,75329661;2,23136832;3,26556909;3,40777794;2,56172715;1,31081706;9,24131631;3,46223297;2,05473024;0,16547565;1,1489939;7,76475318
Mbatto;12,58333333;0,65311222;0,2984256;1,70977253;10,8453945;3,9461202;7,64914526;2,14197063;3,16226179;3,40552409;2,45950349;1,55405442;9,02759374;3,41905602;1,7973269;0,18230117;2,337873;7,25037381
Mbatto;13,16666667;0,57711796;0,3052255;1,47694879;11,0974266;4,01029424;7,34059932;2,31927071;3,19795897;3,69175943;2,46033953;1,56081826;9,35632536;3,55014123;2,04121228;0,17074816;1,83163145;6,99368884
Mbatto;13,08333333;0,64196978;0,28183655;1,77929531;11,0614226;3,93544201;7,80607263;2,18382272;3,24501408;3,59676549;2,56836402;1,52703334;9,41564012;3,43481787;1,88567311;0,17911996;2,15596702;7,53375335
Mbatto;13;0,63419315;0,29904409;1,65663275;11,0592388;3,99582698;7,36510898;2,27149299;3,16362188;3,64375141;2,41279477;1,46622135;9,22469471;3,44797063;1,77069739;0,18465204;2,15588023;6,00453293
Mbatto;12,91666667;0,66468822;0,28345865;1,83179724;11,3343127;4,04943421;7,89801898;2,32534584;3,379651;3,45414129;2,52756785;1,45270684;9,36513305;3,40027815;1,939571;0,1757203;2,128761;7,66012486
Mbatto;12,66666667;0,54449112;0,30620404;1,38917525;11,0233313;3,89929694;7,4207328;2,05433837;3,22335536;3,37206407;2,37178149;1,56756898;8,96833586;3,41943519;1,73659418;0,20285407;2,22985599;5,67677762
Mbatto;12,91666667;0,60454604;0,29517182;1,59993974;11,0029396;3,89394675;7,71544491;2,16987214;3,19039055;3,69748589;2,4194366;1,58784237;9,31103841;3,3123982;1,79765117;0,18883173;2,32474216;7,47081904
Mbatto;13,75;0,66981221;0,23557901;2,22062897;11,0242165;3,9119895;7,46440966;2,15842986;3,19302456;3,34904374;2,23125292;1,37163411;8,7845245;3,43768698;1,75109981;0,18379753;1,94030189;7,35228363
Mbatto;12,66666667;0,64604614;0,28823798;1,7510134;11,009814;4,12230698;7,44776644;2,26382682;2,92602279;3,5004593;2,11500742;1,5810825;8,54255955;3,4734974;1,82443746;0,16839185;2,12174175;6,80537507
Yakro;13,5;0,5801228;0,31290111;1,44810036;11,0585994;3,93772517;7,61639815;2,19840598;3,25988372;3,63223184;2,31883163;1,6081198;9,22031603;3,35544725;1,73735782;0,18282096;6,11766631;7,47118296
Yakro;12,75;0,59523662;0,30851365;1,50724208;10,6808049;3,8930113;7,49641224;2,07482096;3,08171337;3,35211205;2,4259585;1,5472997;8,86173035;3,29815852;2,1218492;0,1765109;2,10831457;5,71137686
Yakro;13,16666667;0,58727024;0,27790353;1,6506903;10,7387902;3,66539541;7,43531673;2,06908699;2,98160656;3,19817254;2,30487851;1,58784541;8,49037479;3,10383776;1,81140693;0,18332106;2,27771143;5,4042141
Yakro;13,75;0,57222885;0,32996663;1,35443842;10,8548217;3,89168505;7,7285766;2,22609223;3,2944978;3,47082716;2,38676449;1,3310932;9,16381006;3,38355018;2,07562795;0,17933446;2,27833358;5,9508815
Yakro;13,33333333;0,60673127;0,26457727;1,79121404;11,0069699;3,7880058;7,573218;2,13035513;3,13086865;3,44898006;2,2104586;1,32433231;8,79772054;3,42914668;1,8656407;0,18266554;2,09539021;5,99428638
